IOU U-Net,IOU OpenCV,IOU OpenCV Denoised
0.987342,0.821081,0.847427
0.99293,0.796938,0.864336
0.993053,0.749104,0.789731
0.97206,0.77555,0.818649
0.99053,0.806447,0.863898
0.967362,0.78183,0.844189
0.992564,0.788472,0.834416
0.991174,0.804976,0.869071
0.991902,0.798093,0.864365
0.991111,0.744478,0.771251
0.989935,0.797307,0.861886
0.991009,0.802578,0.865011
0.990896,0.800995,0.86203
0.989312,0.802987,0.870081
0.990553,0.797212,0.866102
0.989607,0.809416,0.844615
0.991723,0.759917,0.811075
0.986147,0.755521,0.776696
0.990395,0.817658,0.871039
0.989042,0.798943,0.858156
0.990313,0.79353,0.861608
0.991323,0.800126,0.862641
0.990262,0.801223,0.864532
0.991076,0.812678,0.879511
0.989932,0.805014,0.868515
0.991415,0.813057,0.848692
0.98964,0.795411,0.862369
0.990869,0.800664,0.863731
0.991819,0.800884,0.863206
0.990025,0.784496,0.835746
0.990427,0.800474,0.863932
0.99136,0.802664,0.863215
0.99085,0.798983,0.868709
0.966199,0.809087,0.865911
0.980478,0.797554,0.857571
0.991585,0.802591,0.864283
0.990581,0.809355,0.877307
0.987957,0.805192,0.86278
0.991628,0.81432,0.851195
0.984553,0.809186,0.869708
0.991163,0.80849,0.863927
0.993421,0.799034,0.866959
0.991166,0.797399,0.863649
0.988326,0.807894,0.841695
0.98841,0.788793,0.820186
0.988167,0.79245,0.856588
0.988186,0.804323,0.861455
0.99111,0.803021,0.867352
0.99256,0.794833,0.828636
0.9771,0.783167,0.840377
0.989776,0.80681,0.863919
0.991885,0.800948,0.86363
0.991258,0.806975,0.87046
0.99059,0.739023,0.765519
0.990636,0.769933,0.828446
0.992388,0.806307,0.870249
0.991779,0.794878,0.860134
0.984286,0.772877,0.802723
0.990641,0.802529,0.859377
0.991518,0.776908,0.833983
0.985901,0.732911,0.758208
0.989122,0.802512,0.867979
0.986371,0.794741,0.855037
0.991365,0.791026,0.855478
0.989708,0.808513,0.876284
0.982427,0.792533,0.853534
0.992025,0.79827,0.864104
0.991919,0.800391,0.864321
0.990802,0.805253,0.871158
0.991668,0.751787,0.805227
0.990846,0.803031,0.868484
0.99086,0.796072,0.860004
0.986944,0.757186,0.784902
0.989945,0.796266,0.8654
0.991142,0.798036,0.860015
0.992252,0.750629,0.804416
0.966699,0.776936,0.837237
0.992531,0.759955,0.813591
0.971265,0.785443,0.846208
0.966284,0.772104,0.831234
0.989847,0.794205,0.85973
0.990258,0.799222,0.864143
0.970781,0.77912,0.819548
0.990925,0.799898,0.868439
0.969757,0.780228,0.839187
0.99088,0.802554,0.867181
0.991616,0.79545,0.863464
0.991408,0.80714,0.869618
0.992333,0.802745,0.866868
0.981068,0.797572,0.855292
0.950919,0.796702,0.844205
0.99047,0.774625,0.832311
0.988187,0.733793,0.761662
0.967617,0.807354,0.865407
0.982376,0.805694,0.861262
0.988855,0.804762,0.869982
0.989631,0.793791,0.85858
0.994113,0.798187,0.863308
0.990227,0.798861,0.862972
0.988101,0.807529,0.862378
0.992928,0.799556,0.862325
0.992394,0.79615,0.862473
0.990406,0.803031,0.866188
0.990842,0.798739,0.863169
0.99385,0.797768,0.863793
0.992924,0.798667,0.86807
0.990444,0.799751,0.862939
0.989757,0.740416,0.780428
0.981799,0.787967,0.851582
0.991592,0.732436,0.771297
0.989245,0.797217,0.863589
0.990432,0.796974,0.859521
0.991163,0.796473,0.858815
0.990791,0.801887,0.864025
0.991252,0.798236,0.862401
0.991015,0.794646,0.860222
0.990573,0.794118,0.862156
0.9901,0.796242,0.85816
0.991496,0.770332,0.81526
0.992164,0.803683,0.870974
0.985675,0.817014,0.871235
0.992253,0.78872,0.845486
0.972277,0.780364,0.81911
0.992084,0.802579,0.87017
0.991417,0.797637,0.862862
0.979173,0.794802,0.85052
0.962272,0.805752,0.863475
0.981321,0.794666,0.852714
0.987757,0.816159,0.873729
0.993019,0.802118,0.865009
0.989334,0.796783,0.857603
0.991641,0.797656,0.864007
0.991771,0.78464,0.845182
0.989551,0.80243,0.868137
0.9901,0.801293,0.867974
0.987913,0.758211,0.787285
0.991441,0.801722,0.868551
0.989642,0.745143,0.773989
0.990997,0.799258,0.865143
0.9931,0.796057,0.862839
0.990425,0.797342,0.863559
0.993477,0.79926,0.863309
0.99133,0.802188,0.866189
0.991796,0.791786,0.855892
0.973564,0.784983,0.825286
0.99065,0.81269,0.869862
0.990942,0.776794,0.834838
0.994062,0.786469,0.848797
0.991042,0.780303,0.812292
0.979453,0.763361,0.793247
0.990089,0.792763,0.857796
0.992121,0.804237,0.837589
0.990417,0.801823,0.867735
0.990903,0.799303,0.867562
0.992238,0.798848,0.862624
0.989266,0.802003,0.863596
0.990418,0.798578,0.860859
0.992788,0.797756,0.862648
0.988297,0.800051,0.865926
0.9798,0.7783,0.834472
0.986317,0.810996,0.869205
0.991645,0.802949,0.869487
0.988644,0.763936,0.794252
0.981496,0.744861,0.772424
0.990129,0.779928,0.812837
0.984345,0.794819,0.853566
0.990937,0.806185,0.870839
0.992653,0.798793,0.865094
0.993056,0.761362,0.815376
0.989433,0.732083,0.758057
0.991791,0.777945,0.810938
0.990961,0.795918,0.862646
0.988233,0.816292,0.871368
0.992597,0.804461,0.865847
0.990316,0.799001,0.861386
0.991627,0.782416,0.845026
0.982718,0.79582,0.854881
0.990304,0.792984,0.861021
0.98533,0.789082,0.814837
0.991872,0.799873,0.867102
0.96295,0.82224,0.86823
0.990122,0.773168,0.833375
0.991983,0.79728,0.861747
0.989761,0.797316,0.86532
0.99046,0.799065,0.864712
0.990313,0.801451,0.864276
0.98363,0.780482,0.811783
0.993395,0.762388,0.816889
0.990154,0.803018,0.869702
0.991001,0.77715,0.835545
0.991106,0.80085,0.866198
0.981309,0.819164,0.873376
0.990117,0.800746,0.866431
0.992475,0.797062,0.863969
0.970215,0.782474,0.838153
0.992211,0.802895,0.868571
0.9925,0.803004,0.868535
0.988596,0.811915,0.869422
0.991284,0.800385,0.863655
0.991325,0.797174,0.863698
0.973912,0.776869,0.838923
0.981447,0.793064,0.852411
0.989929,0.798797,0.864353
0.990567,0.798232,0.861041
0.988296,0.724388,0.750842
0.972122,0.778566,0.837951
0.991145,0.794765,0.863454
0.9928,0.78407,0.828361
0.97819,0.780625,0.836018
0.992103,0.806718,0.87019
0.986615,0.759531,0.780122
0.989262,0.804862,0.869526
0.984713,0.781762,0.804909
0.992799,0.797803,0.865371
0.990352,0.800436,0.862018
0.991373,0.773614,0.832737
0.99264,0.794787,0.863029
0.990612,0.801527,0.869151
0.974463,0.773702,0.832336
0.988224,0.71969,0.744135
0.993058,0.760263,0.8145
0.986075,0.81707,0.869927
0.991322,0.798063,0.862729
0.991182,0.80051,0.868092
0.989779,0.795914,0.863107
0.990047,0.79836,0.867261
0.980386,0.791193,0.849943
0.988893,0.815134,0.867369
0.991739,0.783081,0.833313
0.991384,0.750229,0.791936
0.99185,0.794575,0.858279
0.972402,0.714699,0.735312
0.989648,0.805718,0.863626
0.989652,0.749612,0.779038
0.988495,0.712882,0.738952
0.964663,0.779195,0.833438
0.951375,0.746038,0.786942
0.969262,0.780214,0.819764
0.991173,0.793595,0.857563
0.992219,0.763929,0.816906
0.992404,0.784213,0.82821
0.991306,0.773744,0.83326
0.989844,0.803459,0.869918
0.991048,0.792001,0.860243
0.99193,0.803592,0.869523
0.991497,0.746132,0.786987
0.972453,0.78249,0.842778
0.990155,0.803877,0.868042
0.990585,0.798913,0.866439
0.974225,0.777761,0.818605
0.990079,0.814492,0.86669
0.978241,0.785564,0.843631
0.991144,0.783382,0.830802
0.98974,0.719364,0.745671
0.990577,0.772777,0.828451
0.974607,0.782453,0.842832
0.991832,0.803493,0.869952
0.978312,0.784585,0.841913
0.990641,0.8004,0.865099
0.991188,0.798019,0.865627
0.992987,0.80413,0.867943
0.990089,0.790888,0.85939
0.991486,0.80694,0.87438
0.990646,0.803652,0.868453
0.979745,0.785964,0.839393
0.990653,0.804501,0.86816
0.991225,0.774445,0.83607
0.982948,0.791841,0.84978
0.991503,0.798124,0.863992
0.990624,0.803529,0.870212
0.985992,0.817303,0.868137
0.990888,0.804916,0.864291
0.989094,0.806127,0.864376
0.956496,0.814316,0.862505
0.990319,0.800403,0.869574
0.989908,0.813146,0.868493
0.988615,0.809816,0.866598
0.988876,0.801949,0.861705
0.993327,0.798116,0.86344
0.991968,0.798698,0.862614
0.992798,0.799771,0.86487
0.966952,0.815662,0.87026
0.991812,0.751633,0.805963
0.991712,0.803364,0.870212
0.989659,0.795726,0.859578
0.989303,0.814286,0.869251
0.99151,0.798909,0.86463
0.988274,0.807118,0.864028
0.964945,0.810568,0.868043
0.988613,0.80096,0.865757
0.980869,0.798407,0.855042
0.990482,0.797792,0.863665
0.991852,0.786983,0.845138
0.991077,0.806252,0.8701
0.991854,0.811627,0.87908
0.989227,0.805243,0.864614
0.981206,0.791945,0.851941
0.990626,0.79973,0.864267
0.992369,0.800961,0.866359
0.990542,0.800296,0.867281
0.986344,0.813453,0.868077
0.990246,0.813266,0.867266
0.990098,0.790608,0.857741
0.989997,0.798325,0.864484
0.966445,0.808485,0.864319
0.991367,0.795702,0.864149
0.99012,0.802204,0.866974
0.984338,0.796741,0.853875
0.987081,0.821051,0.858029
0.989667,0.798388,0.863577
0.991699,0.797,0.863711
0.990718,0.767999,0.809412
0.96835,0.810326,0.869372
0.990649,0.808142,0.861519
0.99044,0.801381,0.862625
0.991924,0.782655,0.82916
0.991063,0.751865,0.804303
0.991177,0.801634,0.865814
0.970423,0.784451,0.844155
0.993714,0.797996,0.863031
0.992195,0.752124,0.793271
0.990429,0.797643,0.862638
0.986667,0.813712,0.873593
0.992404,0.813758,0.851159
0.991441,0.776175,0.832946
0.97979,0.799244,0.855105
0.990832,0.810633,0.869926
0.990392,0.799231,0.86371
0.990287,0.796897,0.860942
0.991547,0.796507,0.863852
0.989349,0.803627,0.871165
0.99056,0.807112,0.86796
0.990873,0.774744,0.832124
0.990929,0.800164,0.865759
0.977099,0.780819,0.838867
0.989655,0.8,0.864136
0.990955,0.799437,0.862588
0.990638,0.796016,0.858406
0.976733,0.733552,0.754856
0.976044,0.781456,0.840687
0.981724,0.732621,0.759198
0.966169,0.812415,0.865834
0.991428,0.767072,0.807295
0.959007,0.819096,0.867748
0.987911,0.80188,0.862265
0.991196,0.799506,0.864294
0.991277,0.799277,0.868304
0.992868,0.758554,0.815571
0.989937,0.799949,0.863825
0.990447,0.800284,0.86606
0.992389,0.780816,0.829178
0.990152,0.803897,0.869857
0.989599,0.802327,0.868966
0.989649,0.796498,0.866356
0.993243,0.797051,0.863812
0.992898,0.803299,0.867343
0.976851,0.754153,0.799575
